id,exercise_id,anchor,is_primary,created_at
73c98013-8f48-4b37-a8b9-cec0f8ebabfc,bird-dogs,surprise,t,2026-02-10 15:15:34.611804+00
73d621e6-1467-46d1-9a03-6ecad379ea12,high-pulls,pull,t,2026-02-10 15:15:34.611804+00
763b2d39-9611-4e6b-8011-82db0b2e93c7,good-morning,hinge,t,2026-02-10 15:15:34.611804+00
7772a6ad-4baf-4cd3-9efd-9c847de293f7,banded-pull-aparts,surprise,t,2026-02-10 15:15:34.611804+00
7789d9e0-645e-490a-abc8-ef8207712642,bench-press-incline,press,t,2026-02-10 15:15:34.611804+00
780bfd49-f871-4fea-8d78-d265a513ec55,thruster,squat,f,2026-02-10 15:15:34.611804+00
7983ed38-fbda-43f2-9d83-1ff3aa47ad1b,side-plank,surprise,t,2026-02-10 15:15:34.611804+00
7a1919da-d099-4a95-acd4-2af71099b164,deadlift,hinge,t,2026-02-10 15:15:34.611804+00
7bf9c811-2acb-4ab9-8612-60be148140af,snatch,power,t,2026-02-10 15:15:34.611804+00
7d336b27-fbfb-45a3-9c34-97e9a02d394a,squat-jumps,surprise,t,2026-02-10 15:15:34.611804+00
809f0e6a-659b-494b-9af2-71f64a8b8f80,trap-bar-deadlift,hinge,t,2026-02-10 15:15:34.611804+00
82898111-8f6d-41a2-8780-c92b41b45411,landmine-press,press,t,2026-02-10 15:15:34.611804+00
86c8533e-d269-487f-b1b3-019ca5dd2af3,overhead-tricep-extension,press,t,2026-02-10 15:15:34.611804+00
879d8c50-1b19-47ec-ba8a-43f354d1beee,split-squat,squat,t,2026-02-10 15:15:34.611804+00
88a22ec1-0f90-4047-8fcb-daa0c39e41fc,walking-lunges-oh,squat,t,2026-02-10 15:15:34.611804+00
88c1b217-c97b-428e-867e-5a44718e4368,rear-delt-flys,pull,t,2026-02-10 15:15:34.611804+00
89311d62-3724-4a98-b564-d4cf65a717f5,leg-raises,surprise,t,2026-02-10 15:15:34.611804+00
89c93549-91d7-4a28-8f29-8e6c064cd4b8,leg-extension,squat,t,2026-02-10 15:15:34.611804+00
8a91b947-1807-46a4-a5d3-395eded6d7f0,bicycles,surprise,t,2026-02-10 15:15:34.611804+00
8d7888eb-889b-4636-8a4c-ef8fc3e4b3da,farmers-carry,surprise,t,2026-02-10 15:15:34.611804+00
8ddc8639-4d59-4813-815c-5866a09a07c5,front-squat,squat,t,2026-02-10 15:15:34.611804+00
8df7a874-6628-4954-9a24-387ab95d42f0,flutter-kicks,surprise,t,2026-02-10 15:15:34.611804+00
8fe9a922-17f1-4e4a-a8bf-9b2c22f13ad4,strict-press,press,t,2026-02-10 15:15:34.611804+00
905ee45f-e77c-4918-967c-c068e482800d,reverse-lunges,squat,t,2026-02-10 15:15:34.611804+00
92ca11e7-07d5-4769-b24c-1e6cd788d2c0,jump-rope,surprise,t,2026-02-10 15:15:34.611804+00
93170966-a53c-4527-b6b3-66ec7e73402d,leg-curl,hinge,t,2026-02-10 15:15:34.611804+00
93dd1761-7cc0-4646-b944-2fe14be09285,single-leg-rdl,pull,f,2026-02-10 15:15:34.611804+00
9441fc94-8903-413b-8ddc-6ed12dc4ca87,push-jerk,power,t,2026-02-10 15:15:34.611804+00
94d62e0f-0cd4-4fae-b42c-0c53bae01f1e,assisted-pull-ups,pull,t,2026-02-10 15:15:34.611804+00
95ef120f-7a39-4ade-a224-cd2fd2e99c54,hanging-knee-tucks,surprise,t,2026-02-10 15:15:34.611804+00
98555637-f6ee-468e-a2fc-d7c2860018ce,internal-rotation,pull,t,2026-02-10 15:15:34.611804+00
9b083ff0-a169-481d-a83a-878a570be0d9,push-press,power,f,2026-02-10 15:15:34.611804+00
9b8dea86-96aa-448f-8a7c-b9bd1184c7b9,childs-pose,surprise,t,2026-02-10 15:15:34.611804+00
9d7680d1-aa64-4151-bab9-0f906bbb497a,arm-circles,surprise,t,2026-02-10 15:15:34.611804+00
9f54f8dd-9f4a-4e3c-990e-3c51eac51b0f,goblet-squat,squat,t,2026-02-10 15:15:34.611804+00
a01efb11-1a24-4aca-96bd-42a10b67d102,bulgarian-split-squat,squat,t,2026-02-10 15:15:34.611804+00
a0dbad17-643a-41b3-b0d6-276d5eee3b47,lateral-lunges,squat,t,2026-02-10 15:15:34.611804+00
a5374979-0c9c-420a-aa07-4bb44442605a,burpees,surprise,t,2026-02-10 15:15:34.611804+00
ab64aaec-9cb4-48e4-8041-40bde1376b09,russian-twists,surprise,t,2026-02-10 15:15:34.611804+00
ad814e84-e326-4efd-a5a8-8a572f971c13,db-chest-flys,press,t,2026-02-10 15:15:34.611804+00
ade5df13-b61c-4560-91ce-49642763cf2f,band-dislocates,surprise,t,2026-02-10 15:15:34.611804+00
af59b51c-fe6f-4bc4-8ce1-11952a1e853f,leg-press,squat,t,2026-02-10 15:15:34.611804+00
b074d8f1-d241-47a6-8835-12214e5c70e9,pause-squat,squat,t,2026-02-10 15:15:34.611804+00
b15696e6-cbe7-48fe-81f5-49f88a510722,box-squat,squat,t,2026-02-10 15:15:34.611804+00
b1a1b3e8-c126-46f9-accd-63650b52dc88,split-jerk,power,t,2026-02-10 15:15:34.611804+00
b2441988-3e1b-48ad-b382-4581ada574d5,overhead-carry,surprise,t,2026-02-10 15:15:34.611804+00
b36b1a63-2982-4c5f-a606-c0207edf58f3,face-pulls,pull,t,2026-02-10 15:15:34.611804+00
b8500ba8-612c-4593-9ba9-f313dbf9add2,push-ups,press,t,2026-02-10 15:15:34.611804+00
bb1386e0-300b-4b5a-aedc-87d0f4be0f34,worlds-greatest-stretch,surprise,t,2026-02-10 15:15:34.611804+00
bb2647b3-f27d-4706-ad65-8e2b50a390e5,arnold-press,press,t,2026-02-10 15:15:34.611804+00
bbc916c2-ace9-4c6d-81d0-9120fd8caeaf,bench-press,press,t,2026-02-10 15:15:34.611804+00
bdc8c413-00de-47ca-9364-683fafdb9a22,nordic-curl,hinge,t,2026-02-10 15:15:34.611804+00
c1a0b560-6fd1-4220-9fda-20c7a49bc739,db-incline-press,press,t,2026-02-10 15:15:34.611804+00
c6ad481e-97bb-462b-a360-2e7520465161,reverse-hyper,hinge,t,2026-02-10 15:15:34.611804+00
c8d36f1c-2c8e-4995-b02a-54c5825a7f93,close-grip-bench,press,t,2026-02-10 15:15:34.611804+00
c944a010-297f-43aa-84fc-756fa0d2cf7a,db-thruster,squat,f,2026-02-10 15:15:34.611804+00
cb6bc9f0-d033-4bb5-9d1c-a8402026d1f1,landmine-rotation,surprise,t,2026-02-10 15:15:34.611804+00
cea5f066-766c-40e7-be28-3d2b49a86dbd,shrugs,pull,t,2026-02-10 15:15:34.611804+00
cfa2ed44-3d61-4be0-b8f9-884fd36dd82d,hammer-curls,pull,t,2026-02-10 15:15:34.611804+00
d0b169e1-2910-43a3-b10c-7dc0debf8e8f,db-thruster,power,t,2026-02-10 15:15:34.611804+00
d15c289f-8e5d-4a16-8e0f-c5522c656c15,snatch-grip-deadlift,power,t,2026-02-10 15:15:34.611804+00
d396a92b-4aa1-4779-9dd7-2e4967a6faf2,90-90-stretch,surprise,t,2026-02-10 15:15:34.611804+00
d9426543-e2ab-49e2-8282-d8b8aa4b55f8,lat-pulldown,pull,t,2026-02-10 15:15:34.611804+00
d969287e-a0ad-4b05-a0d6-dbad3d920437,single-leg-glute-bridge,hinge,t,2026-02-10 15:15:34.611804+00
dbdd0167-68b5-4cb0-b7a5-20bc9c0ae401,renegade-push-ups,press,t,2026-02-10 15:15:34.611804+00
dcbdc4b5-ec47-424a-aad3-4685e62d3518,single-leg-rdl,hinge,t,2026-02-10 15:15:34.611804+00
dfd4a7ab-1e05-43a9-98b9-b84681add72e,foam-rolling,surprise,t,2026-02-10 15:15:34.611804+00
e0e82762-ac74-4bef-8f73-252b463c6983,cable-woodchops,surprise,t,2026-02-10 15:15:34.611804+00
e3c50323-d217-449a-8c1a-26774ba2daad,db-thruster,press,f,2026-02-10 15:15:34.611804+00
